VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-07-01 00:35:12,2020-07-01 00:43:47,1,1.60,1,N,48,229,2,8,3,0.5,0,0,0.3,11.8,2.5
1,2020-07-01 00:04:13,2020-07-01 00:07:08,1,.90,1,N,140,263,1,5,3,0.5,1,0,0.3,9.8,2.5
1,2020-07-01 00:14:39,2020-07-01 00:16:51,1,.90,1,N,263,141,1,4.5,3,0.5,1.65,0,0.3,9.95,2.5
1,2020-07-01 00:26:16,2020-07-01 00:30:30,1,.70,1,N,262,262,1,5,3,0.5,2.2,0,0.3,11,2.5
2,2020-07-01 00:03:36,2020-07-01 00:16:32,1,3.86,1,N,87,246,1,14,0.5,0.5,0,0,0.3,17.8,2.5
2,2020-07-01 00:24:03,2020-07-01 00:32:35,1,3.11,1,N,186,261,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,2020-07-01 00:38:09,2020-07-01 00:48:00,1,2.89,1,N,125,48,2,11,0.5,0.5,0,0,0.3,14.8,2.5
2,2020-07-01 00:14:57,2020-07-01 00:49:16,1,3.49,1,N,140,74,2,23,0.5,0.5,0,0,0.3,26.8,2.5
2,2020-07-01 00:00:16,2020-07-01 00:14:52,1,2.51,1,N,80,148,1,12,0.5,0.5,3.16,0,0.3,18.96,2.5
2,2020-07-01 00:25:32,2020-07-01 00:31:39,1,2.17,1,N,233,263,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2020-07-01 00:05:52,2020-07-01 00:18:37,1,2.57,1,N,244,41,1,11.5,0.5,0.5,2.56,0,0.3,15.36,0
2,2020-07-01 00:23:36,2020-07-01 00:31:16,1,1.04,1,N,41,74,2,7,0.5,0.5,0,0,0.3,8.3,0
2,2020-07-01 00:34:33,2020-07-01 00:48:41,1,4.79,1,N,75,193,2,15.5,0.5,0.5,0,0,0.3,19.3,2.5
2,2020-07-01 00:50:13,2020-07-01 01:18:50,1,17.21,1,N,193,76,2,47,0.5,0.5,0,0,0.3,48.3,0
1,2020-07-01 00:28:51,2020-07-01 00:38:34,1,3.50,1,N,79,141,1,11.5,3,0.5,3.05,0,0.3,18.35,2.5
1,2020-07-01 00:08:17,2020-07-01 00:23:00,2,10.60,1,N,138,191,1,29.5,0.5,0.5,7.7,0,0.3,38.5,0
2,2020-07-01 00:37:29,2020-07-01 00:51:43,1,8.75,1,N,74,259,2,25.5,0.5,0.5,0,0,0.3,26.8,0
1,2020-07-01 00:16:06,2020-07-01 00:20:01,2,1.00,1,N,48,48,1,5,3,0.5,0,0,0.3,8.8,2.5
2,2020-07-01 00:04:30,2020-07-01 05:10:03,1,21.22,1,N,224,224,2,173.5,0.5,0.5,0,0,0.3,177.3,2.5
1,2020-07-01 00:51:08,2020-07-01 01:18:28,1,.00,1,N,247,37,1,28.2,0,0.5,0,0,0.3,29,0
2,2020-07-01 00:01:34,2020-07-01 00:20:19,1,4.82,1,N,113,189,1,18,0.5,0.5,4.36,0,0.3,26.16,2.5
2,2020-07-01 00:24:53,2020-07-01 00:53:42,1,9.30,5,N,229,265,2,40,0,0.5,0,11.75,0.3,55.05,2.5
1,2020-07-01 00:53:12,2020-07-01 01:07:22,1,4.10,1,N,68,65,1,15,3,0.5,3,0,0.3,21.8,2.5
2,2020-07-01 00:52:34,2020-07-01 01:00:22,3,1.60,1,N,239,263,1,8,0.5,0.5,2.95,0,0.3,14.75,2.5
2,2020-07-01 00:38:25,2020-07-01 00:50:55,1,3.93,1,N,68,140,1,13.5,0.5,0.5,3.46,0,0.3,20.76,2.5
2,2020-07-01 00:59:10,2020-07-01 01:02:20,1,.86,1,N,229,141,1,5,0.5,0.5,2.2,0,0.3,11,2.5
2,2020-07-01 00:17:00,2020-07-01 00:30:59,1,4.76,1,N,68,75,2,15.5,0.5,0.5,0,0,0.3,19.3,2.5
2,2020-07-01 00:32:59,2020-07-01 00:36:36,1,1.03,1,N,75,262,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,2020-07-01 00:34:29,2020-07-01 00:38:21,1,.60,1,N,151,43,2,5,0.5,0.5,0,0,0.3,6.3,0
2,2020-07-01 00:05:01,2020-07-01 00:07:22,6,1.09,1,N,249,186,1,5,0.5,0.5,2.64,0,0.3,11.44,2.5
2,2020-07-01 01:00:13,2020-07-01 01:16:45,6,9.22,1,N,148,7,1,27,0.5,0.5,9.24,0,0.3,40.04,2.5
2,2020-07-01 00:32:28,2020-07-01 00:48:25,1,10.65,1,N,183,64,1,30,0.5,0.5,2.75,6.12,0.3,40.17,0
2,2020-07-01 00:50:08,2020-07-01 00:50:18,1,.00,2,N,74,74,1,52,0,0.5,0,6.12,0.3,58.92,0
2,2020-07-01 00:57:42,2020-07-01 01:01:13,2,.82,1,N,141,263,1,5,0.5,0.5,0,0,0.3,8.8,2.5
2,2020-07-01 00:07:52,2020-07-01 00:11:51,1,.99,1,N,263,141,1,5.5,0.5,0.5,2.33,0,0.3,11.63,2.5
2,2020-07-01 00:38:02,2020-07-01 00:56:43,1,5.81,1,N,48,226,1,19,0.5,0.5,5,0,0.3,27.8,2.5
2,2020-07-01 00:12:06,2020-07-01 00:37:51,1,16.43,1,N,132,188,1,44,0.5,0.5,5,0,0.3,50.3,0
2,2020-07-01 00:19:56,2020-07-01 00:37:09,1,8.17,1,N,75,88,1,24.5,0.5,0.5,5.66,0,0.3,33.96,2.5
2,2020-07-01 00:13:41,2020-07-01 00:22:54,1,6.15,1,N,132,135,2,18,0.5,0.5,0,0,0.3,19.3,0
2,2020-07-01 00:23:55,2020-07-01 00:27:12,2,.95,1,N,263,74,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
2,2020-07-01 00:32:56,2020-07-01 00:36:43,2,1.19,1,N,263,229,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,2020-07-01 00:51:36,2020-07-01 01:08:08,2,4.95,1,N,137,112,2,17.5,0.5,0.5,0,0,0.3,21.3,2.5
1,2020-07-01 00:19:28,2020-07-01 00:57:28,1,9.30,1,N,68,120,2,34.5,3,0.5,0,0,0.3,38.3,2.5
2,2020-07-01 00:23:07,2020-07-01 00:26:26,2,.62,1,N,48,164,1,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2020-07-01 00:33:28,2020-07-01 00:34:44,3,.62,1,N,48,68,1,4,0.5,0.5,1.56,0,0.3,9.36,2.5
2,2020-07-01 00:09:00,2020-07-01 00:09:22,2,.05,1,N,113,113,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
1,2020-07-01 00:15:23,2020-07-01 00:20:04,1,.80,1,N,79,4,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5
1,2020-07-01 00:19:27,2020-07-01 00:44:15,1,7.40,1,N,113,129,1,24.5,3,0.5,4,0,0.3,32.3,2.5
2,2020-07-01 00:07:06,2020-07-01 00:16:37,1,3.00,1,N,143,152,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
2,2020-07-01 00:03:33,2020-07-01 00:10:21,1,2.51,1,N,263,170,1,9,0.5,0.5,1.92,0,0.3,14.72,2.5
1,2020-07-01 00:04:39,2020-07-01 00:13:28,1,.00,1,N,236,170,1,9.2,3,0.5,2.6,0,0.3,15.6,2.5
1,2020-07-01 00:17:43,2020-07-01 00:32:35,1,8.60,1,N,233,212,1,25,3,0.5,5.75,0,0.3,34.55,2.5
1,2020-07-01 00:51:58,2020-07-01 00:55:37,1,1.50,1,N,229,137,1,6,3,0.5,1.96,0,0.3,11.76,2.5
2,2020-07-01 00:19:11,2020-07-01 00:24:01,3,1.44,1,N,186,50,1,6,0.5,0.5,2.94,0,0.3,12.74,2.5
2,2020-07-01 00:50:23,2020-07-01 00:56:23,4,1.74,1,N,68,234,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,2020-07-01 00:15:19,2020-07-01 00:22:27,1,2.25,1,N,114,65,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,2020-07-01 00:12:10,2020-07-01 01:05:19,1,29.88,1,N,259,86,1,80,0.5,0.5,2.75,6.12,0.3,90.17,0
1,2020-07-01 00:40:36,2020-07-01 00:50:32,1,2.10,1,N,237,263,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5
2,2020-07-01 00:31:32,2020-07-01 00:36:52,1,1.63,1,N,263,74,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2020-07-01 00:54:23,2020-07-01 00:58:57,2,1.81,1,N,263,74,1,7,0.5,0.5,2,0,0.3,12.8,2.5
1,2020-07-01 00:09:18,2020-07-01 00:36:31,1,.00,1,N,137,76,1,40.2,0,0.5,0,6.12,0.3,47.12,0
2,2020-07-01 00:10:02,2020-07-01 00:19:46,1,2.13,1,N,68,125,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2020-07-01 00:14:31,2020-07-01 00:30:18,1,2.20,1,N,116,41,2,12,0.5,0.5,0,0,0.3,13.3,0
2,2020-07-01 00:02:54,2020-07-01 00:09:25,1,1.88,1,N,48,229,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2020-07-01 00:48:38,2020-07-01 00:57:47,1,3.44,1,N,143,166,2,11,0.5,0.5,0,0,0.3,14.8,2.5
1,2020-07-01 00:54:28,2020-07-01 01:21:16,1,.00,1,N,100,259,1,39.2,0,0.5,0,0,0.3,40,0
2,2020-07-01 00:02:21,2020-07-01 00:08:56,4,1.96,1,N,100,114,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2020-07-01 00:09:00,2020-07-01 00:22:11,1,4.36,1,N,137,146,2,15,0.5,0.5,0,0,0.3,18.8,2.5
2,2020-07-01 00:53:38,2020-07-01 00:58:08,1,1.54,1,N,142,186,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,2020-07-01 00:52:58,2020-07-01 01:01:28,1,2.85,1,N,237,79,1,10,0.5,0.5,2.76,0,0.3,16.56,2.5
1,2020-07-01 00:06:43,2020-07-01 00:32:05,1,7.00,1,N,238,226,2,23,3,0.5,0,0,0.3,26.8,2.5
1,2020-07-01 00:05:01,2020-07-01 00:24:49,2,9.20,1,N,138,17,2,27.5,0.5,0.5,0,0,0.3,28.8,0
2,2020-07-01 00:02:07,2020-07-01 00:08:02,1,1.29,1,N,142,48,1,6.5,0.5,0.5,3.7,0,0.3,14,2.5
2,2020-07-01 00:11:00,2020-07-01 00:21:26,1,3.23,1,N,230,263,1,11.5,0.5,0.5,3.83,0,0.3,19.13,2.5
2,2020-07-01 00:26:40,2020-07-01 00:45:39,1,11.67,1,N,141,28,2,32,0.5,0.5,0,0,0.3,35.8,2.5
2,2020-07-01 00:59:08,2020-07-01 01:03:01,1,1.17,1,N,258,102,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,2020-07-01 00:00:52,2020-07-01 00:08:38,1,1.85,1,N,68,158,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2020-07-01 00:42:59,2020-07-01 01:02:30,1,7.46,1,N,249,41,1,24,0.5,0.5,2,0,0.3,29.8,2.5
1,2020-07-01 00:42:46,2020-07-01 00:58:19,1,4.80,1,N,186,193,2,16.5,3,0.5,0,0,0.3,20.3,2.5
